Пол;Нуждается в общежитии;Иностранное гражданство;Школа;Вид приема;Набор ОП;Сумма баллов;р.я;инф;мат;физ;Баллы за индивидуальные достижения;Сумма баллов за индивидуальные достижения;Год поступления
М;нет;Казахстан;"""Интеллектуальная школа физико-математического направления"" города Уральска, Казахстан, г. Уральск";Общий конкурс;10.03.01 Информационная безопасность;227;70;;96;61;;0;2019
М;да;Нигерия;"""Колледж Notre Dame"" D'aArique Bietry, Кот Д'Ивуар, г. Абиджан";По договору;10.03.01 Информационная безопасность;143;42;;53;48;;0;2018
М;да;Казахстан;"""Общеобразовательная средняя школа №43"" отдела образования города Уральска, Казахстан, г. Уральск";Общий конкурс;11.03.04 Электроника и наноэлектроника;190;65;;76;49;;0;2019
М;нет;Казахстан;"""Средняя общеобразовательная школа №16"" города Уральска, Казахстан, г. Уральск";Общий конкурс;09.03.01 Информатика и вычислительная техника;232;73;;96;63;;0;2019
М;да;Казахстан;"""Средняя общеобразовательная школа №7"" города Уральска, Казахстан, г. Уральск";Общий конкурс;11.03.04 Электроника и наноэлектроника;189;75;;56;48;1. Победитель/призер Международной предметной олимпиады Самарского университета — 10;10;2019
М;нет;;"Автономную некоммерческую общеобразовательную организацию ""Интеллект-плюс"" г.Самара, Россия, г. Самара (63), обл. Самарская";Общий конкурс;10.03.01 Информационная безопасность;218;72;;72;74;;0;2020
М;да;Узбекистан;Академический лицей № 4 при Каршинском Государственном университете, Узбекистан, г. Карши;По договору;01.03.02 Прикладная математика и информатика;139;44;;50;45;;0;2019
М;да;;"АНОО ""Православная классическая гимназия"" г. о. Тольятти Самарской области, Россия, г. Тольятти (63), обл. Самарская";Общий конкурс;09.03.01 Информатика и вычислительная техника;215;88;;68;59;;0;2018
М;да;;"АНОО ""Православная классическая гимназия"" г. о. Тольятти, Россия, г. Тольятти (63), обл. Самарская";Целевой прием;11.03.04 Электроника и наноэлектроника;166;70;;45;51;;0;2018
М;да;;"АНОО ""Православная классическая гимназия"" г.о. Тольятти, Россия, г. Тольятти (63), обл. Самарская";Общий конкурс;10.03.01 Информационная безопасность;219;73;;76;70;;0;2019
М;да;;"АНОО ""Православная классическая гимназия"" г.о. Тольятти, Россия, г. Тольятти (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;244;76;;88;80;;0;2019
М;да;;"АУПО Ханты-Мансийского автономного округа - Югры ""Ханты-Мансийский технолого-педагогический колледж"" г. Ханты-Мансийск, Россия, г. Ханты-Мансийск (86), АО Ханты-Мансийский Автономный округ - Югра";Общий конкурс;10.05.01 Компьютерная безопасность;222;78;;72;72;;0;2020
М;да;;"АУПО Ханты-Мансийского автономного округа - Югры ""Ханты-Мансийский технолого-педагогический колледж"" г. Ханты-Мансийск, Россия, г. Ханты-Мансийск (86), АО Ханты-Мансийский Автономный округ - Югра";Общий конкурс;11.05.01 Радиоэлектронные системы и комплексы;235;87;;72;76;;0;2020
М;да;Туркмения;Ашхабад Средняя Школа 2, Туркмения, г. Ашхабад;По договору;11.03.01 Радиотехника;136;50;;45;41;;0;2020
М;нет;;"БОУ Вологодской области ""Вологодский многопрофильный лицей"" г. Вологда, Россия, г. Вологда (35), обл. Вологодская";Общий конкурс;03.03.01 Прикладные математика и физика;202;76;;78;48;;0;2020
Ж;да;;Бюджетное профессиональное образовательное учреждение Республики Калмыкия «Элистинский политехнический колледж» г. Элиста Республики Калмыкия, Россия, г. Элиста (08), Респ. Калмыкия;Общий конкурс;09.03.01 Информатика и вычислительная техника;220;80;;76;64;;0;2020
М;да;;"ГАПОУ Самарской области "" Тольяттинский электротехнический техникум"" г. Тольятти, Россия, г. Тольятти (63), обл. Самарская";Общий конкурс;11.03.03 Конструирование и технология электронных средств;190;60;;63;67;;0;2019
М;нет;;"ГАПОУ Самарской области ""Самарский государственный колледж"" г. Самара Самарская обл., Россия, г. Самара (63), обл. Самарская";По договору;10.03.01 Информационная безопасность;228;82;;78;68;;0;2020
М;да;;"ГАПОУ Самарской области ""Самарский государственный колледж"" г. Самара Самарская обл., Россия, г. Самара (63), обл. Самарская";В рамках квоты лиц, имеющих особые права;10.03.01 Информационная безопасность;149;43;;61;45;;0;2019
М;нет;;"ГАПОУ Самарской области ""Самарский колледж сервиса производственного оборудования имени Героя Российской Федерации Е.В. Золотухина"" г. Самара, Самарская область, Россия, г. Самара (63), обл. Самарская";Общий конкурс;02.03.02 Фундаментальная информатика и информационные технологии;250;91;;93;61;1. Диплом о среднем профессиональном образовании с отличием — 5;5;2018
М;да;;"ГАПОУ Самарской области ""Тольяттинский машиностроительный колледж"" г.о. Тольятти Самарская область, Россия, г. Тольятти (63), обл. Самарская";Общий конкурс;12.03.05 Лазерная техника и лазерные технологии;179;58;;71;45;1. Диплом о среднем профессиональном образовании с отличием — 5;5;2018
